mag_x (uT),mag_y (uT),mag_z (uT)
3.269159256682336689e+01,-8.600070110733812334e-04,3.777334203233331067e+01
3.270752651722635562e+01,-2.373459939160071832e-03,3.779038837213453661e+01
3.267856083081466068e+01,-4.348040262674347399e-04,3.779600978570725545e+01
3.267696196363411332e+01,3.213058769193138410e-03,3.780521727475684202e+01
3.269620551872743164e+01,-1.040479644458252358e-03,3.778855454500247646e+01
3.270033018617834841e+01,-1.519893847783970395e-02,3.777258297365290929e+01
3.269358495388961217e+01,-2.370690470317345783e-03,3.777838881478358246e+01
3.269053295167615403e+01,6.550685749387821430e-03,3.776410111300438643e+01
3.269490361084363883e+01,-1.716425690910954732e-02,3.778445527021175820e+01
3.268662088682985001e+01,-4.880170697062160244e-03,3.778965792165843141e+01
3.268879308226775038e+01,7.994222740805042790e-03,3.779184885026221963e+01
3.267919214187689647e+01,-4.908267168211732749e-03,3.780541416891544770e+01
3.269700959556990938e+01,-1.329687894619921082e-02,3.778845331178756339e+01
3.270448940229075419e+01,7.953179088165715505e-03,3.779001850613467894e+01
3.268902011954644848e+01,-2.130744684012949100e-02,3.778709379885992092e+01
3.268687270588284122e+01,6.317575860641600274e-03,3.778652086081373085e+01
3.269304200884159428e+01,-1.707336927432416204e-02,3.776208116592069786e+01
3.271016228995551245e+01,1.362265005822443920e-02,3.778363410272358180e+01
3.271042220105642429e+01,-4.838103802144167777e-03,3.777444542978085451e+01
3.269039110213503108e+01,6.503916934977377849e-03,3.779770721161112590e+01
3.270705314435703315e+01,1.393158789537321009e-02,3.779118066645872887e+01
3.269179598493945349e+01,-2.336765616811128932e-02,3.779254756066529097e+01
3.268901982595653521e+01,-6.651855218840425736e-03,3.779798395870998462e+01
3.267606379882280265e+01,-7.871642588576569302e-03,3.778823476563847805e+01
3.270753461079005575e+01,-6.089123823477943058e-03,3.777837283608615593e+01
3.268524762711930265e+01,-6.939938241166407687e-03,3.778846512543334057e+01
3.270902677487127619e+01,-2.704353841164668353e-03,3.779209834527947720e+01
3.270352213856945411e+01,2.086095104285918492e-03,3.779059806898449381e+01
3.269640742164239811e+01,-7.787683078491850278e-03,3.778346930747503052e+01
3.269594209836844101e+01,-1.631395639624883334e-02,3.779303426244591435e+01
3.269886207030100422e+01,-8.124154954848738022e-03,3.780401389046751603e+01
3.270527489510077856e+01,2.283408985974471131e-03,3.778908186024241189e+01
3.267907254540126161e+01,9.627234631613334689e-03,3.780156344019780335e+01
3.269630024546775360e+01,-9.882809912139738084e-03,3.779081848291812662e+01
3.270451058487734031e+01,-8.900130608203129373e-03,3.777096838678082236e+01
3.268849790275272227e+01,1.911638443291570691e-02,3.779313228606254427e+01
3.270913004988995709e+01,-1.422426725097538161e-02,3.779693368456690195e+01
3.269920459594585793e+01,2.470815690853002205e-04,3.781236988189964876e+01
3.267212202006899702e+01,8.875850316915946409e-04,3.777995575626183467e+01
3.268358058035161662e+01,8.546712509087233886e-03,3.778930529993820642e+01
3.269516141778622398e+01,5.355690641398033400e-03,3.777033439680431570e+01
3.268420832596889625e+01,-4.170165023384188666e-03,3.780617240783517730e+01
3.268176183635351606e+01,9.041264917992113126e-03,3.778414046701519169e+01
3.270536709762104266e+01,-1.719819151526998102e-02,3.779066012359725590e+01
3.269763757097866375e+01,3.261245219644310842e-03,3.778484221229749807e+01
3.267953413136362428e+01,9.224765036814845665e-03,3.777580636870217035e+01
3.269605631563180737e+01,-2.338246265516979484e-03,3.778682927442697803e+01
3.270621102117760159e+01,-2.583782321557611121e-04,3.780002769306671695e+01
3.268529822168747501e+01,-1.011027226351605447e-02,3.778530233047085574e+01
3.271812646543885705e+01,-1.500353013802512188e-02,3.777552044406792930e+01
3.271753079122299113e+01,5.639135149211224954e-03,3.779784278895855465e+01
3.269045486149163793e+01,6.723187300169063477e-03,3.779152029872942364e+01
3.270307194165310705e+01,8.544861607431243275e-03,3.778799780082155024e+01
3.269180116973514316e+01,9.915300806393472985e-03,3.779549750062931679e+01
3.269020717792557207e+01,-1.315582890425343737e-02,3.779269714670073910e+01
3.271611501485938334e+01,1.642638067567796234e-02,3.780183082675634409e+01
3.269405702553703463e+01,7.773747082759225810e-03,3.779901838677704262e+01
3.267310005161562714e+01,-1.562826745025756511e-02,3.778546812926661858e+01
3.269149238841158933e+01,-2.646219267305826434e-02,3.778381001993287214e+01
3.268445771751910200e+01,-2.517019081367118886e-03,3.779746557951295216e+01
3.267447640946485166e+01,-1.587843134333936142e-03,3.779939553369059979e+01
3.269966134026408611e+01,-6.738373082193378598e-03,3.778739562948399566e+01
3.269689807486223287e+01,1.997145662321888823e-03,3.780941923164114371e+01
3.270190634179943601e+01,1.153214404873831485e-02,3.779178725725876120e+01
3.266806748052975706e+01,1.325812801349221005e-02,3.778706829397933120e+01
3.270582705042268401e+01,2.263384040745069006e-02,3.777845342642881832e+01
