gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-7.958206050650348806e-02,3.211726717061978709e-02,-3.232058397569830682e-02
-1.357701781981615965e-02,-2.247953004323447607e-02,3.312646726372425743e-02
1.226824770223308887e-02,2.651028303248116960e-02,3.856260270994603390e-02
-3.481388084959623208e-02,-3.381188370236696411e-02,-4.001592408539948742e-02
1.550495838332202787e-02,7.410175759503878634e-02,3.989523095513197032e-02
1.239940431959372924e-01,-3.296457588702630948e-02,3.327739239310033986e-02
-1.664662863358753325e-02,-2.410218360545177477e-03,2.561332193967655324e-02
2.572656132612692603e-02,2.548761523585909433e-02,1.144204233981038071e-02
-3.755190066794358156e-02,-5.950322370341955269e-02,4.422852150940512900e-02
-4.057458190505013051e-02,7.996543869990438425e-02,-7.149000758553419876e-02
-2.892812231078550206e-02,6.008269246746943126e-02,3.715938795600747663e-02
3.420812663960658834e-02,-2.750151025526423321e-02,-3.482577144032367872e-02
6.186381375358791790e-02,-4.150626019181814265e-03,1.262816133039783469e-02
-2.797488637999284364e-02,-5.724075323584370406e-02,4.166947831920751050e-02
6.846360014661104221e-02,-2.101993212523632637e-02,3.879156018566315943e-03
-1.193135562880818026e-02,-9.062896518836786874e-03,-1.323714500105616088e-02
-5.928200831443204005e-02,4.163502088855032535e-02,-5.599392000414955134e-02
1.745503124703177283e-02,7.126249014882640731e-02,-9.934477927253776083e-03
7.229784685527776422e-03,-3.657190013067732060e-02,-6.385409798679990423e-02
3.988839764039418118e-02,-8.254071359630735238e-02,-1.250741687269178726e-02
-6.243234724366445582e-03,-4.255788922152715231e-02,2.750557599809581172e-03
5.385183057683884389e-02,8.527919848455753349e-02,1.462304972421619824e-02
6.420730564364292292e-02,1.619987628247428549e-02,2.854093848513236664e-02
-2.341084639018773186e-02,1.652763068648506473e-02,6.101441205332504975e-02
-4.771657921316393297e-02,3.946239274282011857e-03,-5.549974096254739475e-03
3.538466505551837900e-03,-2.701299626883282498e-02,8.476202758149541799e-03
-3.128056433787096673e-03,4.809403152988943331e-02,5.811453674828288146e-03
4.974194072723898269e-02,4.182554796678763370e-02,-4.071553455351661910e-02
2.429315402621388259e-02,-8.450994531367235496e-02,-5.830311350596251857e-02
