accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
6.024975189342269850e-04,4.193874781715479887e-03,-9.803090004916365174e+00
8.403847273977761365e-03,6.162886914415682295e-03,-9.787219643700998617e+00
-3.006456054156935693e-05,5.106170238041594402e-03,-9.789573866430737681e+00
6.733913808545119971e-03,-3.695848873202417333e-03,-9.787820130578321454e+00
5.785497847920561577e-03,-1.229186893309547595e-03,-9.793521634894441164e+00
-2.872338565364909724e-03,4.270802680445342191e-03,-9.786939261029457882e+00
1.100849638404277978e-02,-2.964793156159616343e-04,-9.803568076858372393e+00
6.229779982140905455e-03,4.624697091133750382e-03,-9.798377617314457666e+00
-2.920153118549517843e-03,-5.080442050802310393e-04,-9.785699770890174065e+00
-1.128128255643590387e-04,-2.531567954453900655e-03,-9.797613866661487592e+00
-9.084299834492486070e-03,-3.843858331322575622e-03,-9.793212379962003666e+00
-4.976203571938808169e-03,3.754604429940464668e-03,-9.794216031069245432e+00
-6.787085789264494899e-03,3.806443179618947820e-03,-9.793953548288413913e+00
4.544848893809919077e-03,4.721898027749791595e-03,-9.792032601748323017e+00
3.742937649210838734e-03,2.551476496865665803e-03,-9.797967407720783228e+00
-2.804786047397155729e-04,3.213625902374867005e-03,-9.795243097077770855e+00
1.060136805273084910e-03,-5.699406718450060689e-04,-9.788926447108405426e+00
-1.933397915488999823e-03,-3.623385774064070562e-04,-9.787148708764895844e+00
3.656395511553334633e-03,-3.894020906846973589e-03,-9.789368078581290433e+00
-2.930919509884555296e-03,1.416516932517518975e-03,-9.799416857507702971e+00
-2.612449295732883255e-03,-1.792533190184782436e-03,-9.791431955700469203e+00
7.442107303089479618e-03,5.033732317360621903e-04,-9.796809672909079225e+00
4.610011885279197835e-03,2.067129875378163634e-03,-9.800801254204847268e+00
-3.067244178962378557e-03,2.769700399691646690e-04,-9.804711143331847012e+00
-9.573333016013731850e-03,7.580482897722602351e-03,-9.790501175268147449e+00
4.466491268925685057e-03,-2.062237883838355552e-03,-9.805502541038176645e+00
5.802300295806626408e-03,1.210264979723923908e-03,-9.794114234588917611e+00
7.909736613452221477e-05,-2.393469193220306140e-03,-9.796796758724157783e+00
-1.168821174127965772e-04,-3.556760087561066427e-03,-9.792774020458972828e+00
6.586599526456556357e-04,-9.276878865246268851e-04,-9.802986384724405866e+00
3.812080687824475570e-03,1.867542512136918624e-03,-9.791562799024001507e+00
-5.553548367984195364e-03,1.145895524203118659e-02,-9.800419532804710343e+00
-9.513735463715258626e-04,1.675686906766734848e-03,-9.802745857584589828e+00
-2.991303467607653831e-03,-6.906244356064057330e-03,-9.801375619439841813e+00
2.388420073850421477e-03,-3.447063828786526164e-03,-9.791746154025926074e+00
5.513244336496824806e-03,1.247111554775947586e-03,-9.795924083188170428e+00
