gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707030275076298509e+06,4.688712660722090863e+06,3.360424049572600052e+06,-1.457633258181424522e-02,-4.718800380636117842e-02,-1.956098461809434308e-02
-2.707022035147947259e+06,4.688703363462904468e+06,3.360441802340894938e+06,2.450772463128637196e-02,1.372981434675443063e-02,-4.906886226656807098e-03
-2.707023688424909953e+06,4.688713730348887853e+06,3.360428986128271557e+06,6.483316851902352906e-02,1.013273012509617599e-02,-5.803205330151742225e-02
-2.707026184016160667e+06,4.688712423042216338e+06,3.360431998108797707e+06,8.451065785118271056e-02,-8.429310955277906012e-03,2.002483348389344844e-02
-2.707036785909248516e+06,4.688712279995433055e+06,3.360431920686609112e+06,1.010196741486165360e-02,5.431539662505346575e-03,1.025598387004514334e-01
-2.707021802377745975e+06,4.688712840602318756e+06,3.360434082520696335e+06,3.375664384198092532e-02,-7.187531204090623349e-02,-7.001851213271270691e-02
-2.707034952858430799e+06,4.688713536878380924e+06,3.360437439267654438e+06,2.205214245861796679e-02,6.071033537846204364e-02,-4.687471207137171303e-02
-2.707031509949779138e+06,4.688713681572580710e+06,3.360430363488299306e+06,-1.305222900769202957e-02,-3.651367876613173524e-02,-2.909595319509361219e-02
-2.707029578543272335e+06,4.688712543150090612e+06,3.360442547476284206e+06,2.298734939646935975e-04,-1.113113601487027149e-02,3.035490050185979394e-02
-2.707030463692836463e+06,4.688712993758126162e+06,3.360427180972232018e+06,-5.648868979234247800e-02,4.349837936384499254e-02,1.079538118228311715e-02
-2.707030289774593897e+06,4.688716736422918737e+06,3.360430229759856593e+06,4.095863990054937620e-02,4.364063972448180284e-02,-9.284332081377577595e-02
-2.707038224965387955e+06,4.688708833080668002e+06,3.360439862896128558e+06,-1.839280248636227313e-02,-2.833395880290388857e-02,-7.583578464504597827e-02
-2.707032532781562768e+06,4.688708517969379202e+06,3.360428732223745901e+06,1.780051392643845418e-02,2.009734907717203312e-02,-4.823761355779390692e-02
-2.707025271164987702e+06,4.688710479360987432e+06,3.360428225960497279e+06,7.951154969654200544e-02,6.402740062541924237e-02,1.860731516028374735e-02
-2.707025690161573701e+06,4.688718924528237432e+06,3.360428773925049696e+06,1.414104288664426792e-02,-3.940619160732852788e-02,5.678293663468853697e-03
-2.707033429759836290e+06,4.688715162858068012e+06,3.360412969119070563e+06,-9.628930062624236697e-04,-4.497805595286739205e-02,1.462635610628762288e-02
-2.707030892028731760e+06,4.688710402001172304e+06,3.360427743486605585e+06,6.953487004187029752e-02,-7.233850516397600031e-03,2.876941032312367672e-03
-2.707029433390572667e+06,4.688710806797382422e+06,3.360421938784629107e+06,4.497170165461005648e-02,1.620828210225409502e-02,-1.309028446643993940e-02
-2.707031722683048807e+06,4.688714901604318991e+06,3.360431029008014128e+06,-9.976574053051587287e-02,8.681185965090518208e-02,-2.983726375471071335e-02
-2.707033899108165875e+06,4.688712702333971858e+06,3.360436285259433556e+06,-5.546005362489869750e-02,-8.754607798667121688e-02,-5.820973585687129470e-02
-2.707034890865699388e+06,4.688709255464373156e+06,3.360418106481355149e+06,3.007803336217256332e-02,6.863633144460762336e-02,4.289922159219616837e-02
-2.707025849062878173e+06,4.688713138687896542e+06,3.360433231879538391e+06,7.661319746839208300e-03,-5.589756208439166513e-02,-7.221841777933318786e-04
-2.707028562123737298e+06,4.688717035669164732e+06,3.360428990585647989e+06,-5.675872767089298887e-02,-1.939247642838615171e-02,2.006468521511631589e-03
-2.707032878003372811e+06,4.688718913274772465e+06,3.360434614455199800e+06,-5.156551082789478241e-02,3.789439949390804169e-02,-3.182667630567852235e-02
-2.707024307961111888e+06,4.688712024389345199e+06,3.360422856378891505e+06,3.774982953367223698e-02,5.688538904609216629e-02,-4.991717525087442653e-02
-2.707034675680989400e+06,4.688716754987824708e+06,3.360430394405409694e+06,6.505474166434370431e-02,2.471264678398803205e-02,3.350017209532171053e-02
-2.707027979954699054e+06,4.688714857421020977e+06,3.360429676622183062e+06,-2.173316442523228614e-02,-3.845128240029808270e-02,-6.663177201149457496e-02
-2.707028610317756422e+06,4.688718697497881018e+06,3.360438763165230397e+06,2.947295168984441494e-02,3.788981933743933161e-03,-1.090480522021157334e-01
-2.707020777643969748e+06,4.688709474730624817e+06,3.360437003766102251e+06,-4.182643216894649935e-02,1.138953531913340818e-02,3.631043373864526608e-02
-2.707030338891887572e+06,4.688718792921315879e+06,3.360433318802735768e+06,2.063429193857484190e-02,-3.444907018810515476e-02,-7.809597056594896891e-02
-2.707038052183564752e+06,4.688716263565244153e+06,3.360419813119194936e+06,7.283097588600927208e-02,-6.160552117456234537e-03,8.693141635797337063e-02
-2.707022342060343362e+06,4.688718557501690462e+06,3.360422759670462459e+06,7.627390255626263771e-02,-5.243292448615105572e-02,6.662449911749861176e-02
-2.707026761608710978e+06,4.688715336412432604e+06,3.360434557037854102e+06,-4.241074658747141790e-02,-2.209778251577236563e-02,-2.909136215152230420e-02
-2.707028621711462270e+06,4.688708132085278630e+06,3.360428141153551638e+06,-2.916468432682831069e-02,3.565983529359998544e-02,-7.587866895662209732e-02
-2.707038753047294449e+06,4.688710470781858079e+06,3.360427929255531635e+06,3.482556560816701258e-02,-3.453288879704513592e-02,-8.967418065442236963e-02
-2.707024130128337536e+06,4.688711377924581990e+06,3.360428904746983200e+06,1.726961158235126859e-01,-5.728842832736556062e-02,2.883255711150052927e-02
-2.707028169796104543e+06,4.688710422677243128e+06,3.360436231854380108e+06,1.762766638308501110e-01,-4.098767991363574947e-02,2.546752564465301627e-02
-2.707031091204256751e+06,4.688712506771001033e+06,3.360427195878125262e+06,3.308209780880225215e-01,-7.540697355786414591e-02,9.303620397319055380e-02
-2.707022583987523336e+06,4.688708847327815369e+06,3.360435205549803097e+06,3.578314139465752497e-01,3.416143295593433368e-03,-7.854684240300048581e-02
-2.707036062559644692e+06,4.688710763781107031e+06,3.360431501531324349e+06,5.094368854830764182e-01,-2.762900034350283113e-02,-2.076292213512543477e-02
-2.707025591810830869e+06,4.688715213469947688e+06,3.360425742490361910e+06,6.019657479064637329e-01,2.596050311810094158e-02,-7.482539842544536600e-03
-2.707027090472985990e+06,4.688715070185385644e+06,3.360430503733109217e+06,6.853497081495049104e-01,1.313274085592824880e-02,5.339471749234227238e-02
-2.707041602094749920e+06,4.688709906845847145e+06,3.360433845884090755e+06,8.102795970291304384e-01,-4.229779426655016356e-02,6.779024634164729224e-02
-2.707028265180811286e+06,4.688714423937001266e+06,3.360427147517497651e+06,9.115905560229429216e-01,9.405956062093462355e-03,-1.914204104762762780e-03
-2.707033405348044820e+06,4.688710216073489748e+06,3.360432207051254809e+06,1.033214108664606945e+00,1.596625091161300164e-02,4.139441879120207834e-02
-2.707031964675081428e+06,4.688710571004384197e+06,3.360427141448331997e+06,1.078159714786737444e+00,-2.771323860137550610e-02,6.485043948709483252e-02
-2.707033623143134639e+06,4.688709545777747408e+06,3.360433519862054382e+06,1.175855030495974285e+00,1.552260015696384568e-02,7.441484329871308166e-03
-2.707028259668943007e+06,4.688709092441749759e+06,3.360436124336775858e+06,1.367545416193076901e+00,-7.019943909923845315e-02,-5.462121914674061829e-02
-2.707029690050372388e+06,4.688708566293702461e+06,3.360431208687952720e+06,1.348671590740291970e+00,-2.772984360843250978e-02,4.884904309254923561e-03
-2.707034630290443543e+06,4.688720466284145601e+06,3.360429136294983793e+06,1.536952559961161091e+00,5.416739472428271779e-02,-4.939715433901731290e-02
-2.707028622038095258e+06,4.688717790860073641e+06,3.360437798936772160e+06,1.589548194669219150e+00,2.377844254041911951e-02,-5.743059840114170950e-02
-2.707023899789819494e+06,4.688712828298565932e+06,3.360428408518653829e+06,1.606776245636797551e+00,-2.075297842163686263e-02,9.489796639376835152e-02
-2.707032572822968476e+06,4.688710590572620742e+06,3.360441533518016804e+06,1.756485892498788948e+00,-7.207405517033073361e-02,-3.033631093801367890e-02
-2.707023407627300359e+06,4.688719361567426473e+06,3.360428569405050017e+06,1.903087421151159697e+00,-5.304139977447253594e-04,4.218233913169192745e-02
-2.707027463288520928e+06,4.688715677399209701e+06,3.360426497776894365e+06,1.908950479334756478e+00,-7.832734594392470884e-02,-2.702712008804265126e-02
-2.707022979682163801e+06,4.688712969213742763e+06,3.360433313872463536e+06,2.081854004448080886e+00,1.256589611404188012e-01,-2.096673574938862430e-02
-2.707024099794347771e+06,4.688698585122001357e+06,3.360442902193169110e+06,2.169567945462337555e+00,6.727573601921227331e-02,-3.879888671551231377e-02
-2.707029384029241279e+06,4.688716646374066360e+06,3.360425057177709881e+06,2.439012644508150363e+00,-1.229867695427859509e-02,-7.495409342844187861e-02
-2.707027079148846678e+06,4.688714044868616387e+06,3.360436351509911008e+06,2.454411826538656083e+00,-5.818877486993438491e-04,-5.584985754521921975e-02
-2.707025318280058913e+06,4.688708777684218250e+06,3.360437154457505327e+06,2.403753071551290255e+00,7.097008239636949656e-02,-7.459964691430921724e-02
-2.707031284869655967e+06,4.688707493266614154e+06,3.360431108709745575e+06,2.563952478614060393e+00,1.928268118465062408e-02,-7.023150470626383923e-02
-2.707024339125134982e+06,4.688710566768318415e+06,3.360427155803421978e+06,2.715183159424664705e+00,5.173879593529379095e-02,-5.807794894752670717e-02
-2.707015103105262853e+06,4.688716053303873166e+06,3.360426291974269319e+06,2.843876648972900156e+00,-1.564828863906089426e-02,4.146562103178968420e-04
-2.707025238510497846e+06,4.688707523483509198e+06,3.360430996920887381e+06,2.916923191920145264e+00,-1.587495025093483073e-02,-5.259290546152906032e-02
-2.707030650062845554e+06,4.688718138576230034e+06,3.360433077928480227e+06,2.968686500191422883e+00,2.700913738372938411e-02,-5.459810738957918824e-02
-2.707025080987337977e+06,4.688699439491582103e+06,3.360427071828935761e+06,3.083323576599498850e+00,-8.585939578335206879e-03,6.931579202970484382e-03
-2.707027965868632309e+06,4.688714054530574009e+06,3.360425642046433408e+06,3.268493954498878473e+00,-6.256141812360926924e-02,-5.109031582688220580e-02
-2.707018631583055016e+06,4.688711212510437705e+06,3.360428339401301928e+06,3.249368001165170661e+00,5.301156105042822975e-02,1.443977895347467282e-02
-2.707027447758545633e+06,4.688718184803126380e+06,3.360425843792159576e+06,3.483897773268382458e+00,-5.998177672678574324e-02,9.281640639872102208e-03
-2.707019286468769889e+06,4.688715553921907209e+06,3.360440463543544523e+06,3.478962828363459714e+00,-3.369756913373780222e-02,2.346634034080316913e-02
-2.707022701480334625e+06,4.688708692032555118e+06,3.360435757890752982e+06,3.597441276440362490e+00,2.793244564575314559e-02,-2.807623006288056597e-02
-2.707018364390329458e+06,4.688719317451420240e+06,3.360438340920734685e+06,3.715898354522697122e+00,-2.295643721716045943e-02,-7.512571185129064688e-02
-2.707019368363230024e+06,4.688707176822516136e+06,3.360440986243470572e+06,3.805063795089148382e+00,1.739260566021081159e-02,1.641575287249970316e-02
-2.707020014958198648e+06,4.688713929931597784e+06,3.360423105924788862e+06,3.937650281690573184e+00,-1.534536135843237023e-03,-2.016403671935593223e-02
-2.707023334407834802e+06,4.688711427428196184e+06,3.360436804942286573e+06,4.081565117885809002e+00,-4.339279239894660266e-03,1.561263829883436077e-03
-2.707019667440225370e+06,4.688712066040009260e+06,3.360434997114444617e+06,4.089840705675380939e+00,-6.909391601437910035e-02,-5.595251811868709457e-02
-2.707023142198954243e+06,4.688703262596759014e+06,3.360449189391951077e+06,4.221248586059283880e+00,-5.065324020546953243e-02,-6.500969302376959080e-02
-2.707013191074713599e+06,4.688716267592493445e+06,3.360424019438490272e+06,4.244735288380437233e+00,-6.334268486694738867e-03,2.679186350589662577e-02
-2.707011019972161856e+06,4.688710679295358248e+06,3.360435690198223572e+06,4.409868191858296704e+00,-2.073609539600120011e-02,2.578090737348058895e-02
-2.707021766985762399e+06,4.688716523580245674e+06,3.360420893971322104e+06,4.505563862985116685e+00,7.702196153278569046e-02,-6.620235385820780194e-02
-2.707011571839413606e+06,4.688700051785688847e+06,3.360424654939599801e+06,4.529290269718142525e+00,-6.720455784235083996e-02,-3.661536919560064163e-02
-2.707018942779557314e+06,4.688703591362745501e+06,3.360427145503090229e+06,4.650981971065067277e+00,1.714460118028597255e-02,1.477751466760651722e-02
-2.707028905647936277e+06,4.688710926746336743e+06,3.360435131227638107e+06,4.787982859446727524e+00,3.327015091671654129e-02,-3.612183055969262618e-02
-2.707021865936621092e+06,4.688713975910550915e+06,3.360419183123523835e+06,4.913454076433298567e+00,-4.113785532489332153e-03,-8.684788096214469261e-03
-2.707018592230769806e+06,4.688715491883679293e+06,3.360429120761540718e+06,5.015353887277708367e+00,3.029223374215937736e-02,-3.196817827062522349e-02
-2.707015116268050857e+06,4.688712800373319536e+06,3.360426599428680260e+06,5.097460371685165192e+00,-5.386918911281647626e-02,1.314663984973537050e-02
-2.707020928100699093e+06,4.688703592103748582e+06,3.360435348821057472e+06,5.240074924415128343e+00,8.052133725017217303e-02,-1.389417945207169040e-02
-2.707010962976494804e+06,4.688711222525131889e+06,3.360428280153574422e+06,5.309938981792480028e+00,5.635892183269291394e-02,-7.393052479253814369e-03
-2.707009495570596773e+06,4.688712384422385134e+06,3.360427363843503408e+06,5.334136052104949677e+00,-2.352575875562641639e-02,6.659864154330311266e-03
-2.707008840036246926e+06,4.688712804840627126e+06,3.360430940934950020e+06,5.532016718394976884e+00,7.195524436500376486e-02,7.322040724898261355e-02
-2.707013047970923595e+06,4.688710875592046417e+06,3.360428415515868925e+06,5.579965817629799041e+00,-2.609178100803323866e-02,5.608186503371126452e-02
-2.707015697611420415e+06,4.688713813966707326e+06,3.360429348108955193e+06,5.732223363457522147e+00,1.400668482624944366e-01,5.932644509024313090e-02
-2.707016346073527820e+06,4.688715580253231339e+06,3.360420473625501618e+06,5.774564708893305642e+00,2.092496733821045708e-03,-5.257876811164578085e-02
-2.707017401341431774e+06,4.688709436327402480e+06,3.360431904956972227e+06,5.902197929934033915e+00,-2.816021422078420974e-02,-2.797234874680872355e-02
-2.707006576885572169e+06,4.688711529636291787e+06,3.360425360837222077e+06,5.966314126474252078e+00,1.011499364055931799e-01,-2.539789151358680733e-02
-2.707017375774671789e+06,4.688715970405167900e+06,3.360421755908645224e+06,6.142247209277247322e+00,3.536253398886175792e-02,-1.933019885733381141e-02
-2.707012674679562449e+06,4.688705248989303596e+06,3.360432881794739515e+06,6.186527359203997989e+00,-2.874357892627312297e-02,-4.248072975183205674e-02
-2.707016702342184260e+06,4.688716179005471990e+06,3.360432983196337242e+06,6.319853900434671878e+00,1.146347282096351061e-01,4.777128099985044826e-03
-2.707017581296831369e+06,4.688706878950762562e+06,3.360425498524159193e+06,6.330265180339905484e+00,7.850099956359772591e-02,-2.957827480254975050e-02
-2.707009830234314781e+06,4.688718312137445435e+06,3.360423147534066346e+06,6.537718429157569844e+00,-1.765203034517063771e-02,5.773372893190728550e-02
-2.707018073557250202e+06,4.688710645606972277e+06,3.360424095817618072e+06,6.650320877066404179e+00,2.609518480753057063e-02,4.560454554081902132e-03
-2.707011541295557283e+06,4.688705064606962726e+06,3.360435561103602871e+06,6.672246813313073233e+00,-6.597529475279882705e-02,-2.607299256736218124e-02
-2.707014829647334293e+06,4.688707440687970258e+06,3.360438343884930015e+06,6.842625121196650895e+00,3.759274364125536616e-02,5.522819078810458499e-02
